	location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	keywords
0	120.714990,31.321177	工业园区旺墩路286号苏州时代广场天幕东街10栋1层102室	吴中区	苏州市	B02000J1VW	[]	西堤厚牛排(天幕东街店)	江苏省	0512-66966115;0512-66966117	餐饮服务;外国餐厅;牛扒店(扒房)	050211	120.714990	31.321177	西餐厅
1	120.682386,31.315988	星港街158号湖滨新天地104、204	吴中区	苏州市	B02000ICY5	[]	王品牛排(苏州湖滨店)	江苏省	0512-69562088;0512-69562077	餐饮服务;外国餐厅;牛扒店(扒房)	050211	120.682386	31.315988	西餐厅
2	120.625921,31.310403	观前街太监弄19号1层(近松鹤楼)	姑苏区	苏州市	B02000K2JI	[]	西堤厚牛排(观前街店)	江苏省	0512-65158091;0512-65158092	餐饮服务;外国餐厅;牛扒店(扒房)	050211	120.625921	31.310403	西餐厅
3	118.782268,32.025143	中山南路熙南里商业街区9号	秦淮区	南京市	B00190YOCQ	[]	王品台塑牛排(中山南路店)	江苏省	025-52326968;025-52326908	餐饮服务;外国餐厅;牛扒店(扒房)	050211	118.782268	32.025143	西餐厅
4	116.406506,39.991491	北辰东路8号院时代名门大厦B1层	朝阳区	北京市	B000A874WV	[]	王品台塑牛排(亚运村店)	北京市	010-84985743;010-84985734	餐饮服务;外国餐厅;牛扒店(扒房)	050211	116.406506	39.991491	西餐厅
5	112.609285,26.896669	解放路74号红旗影剧院二楼	石鼓区	衡阳市	B02DE02K6Z	[]	雨花西餐厅(衡阳店)	湖南省	0734-8399999	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	112.609285	26.896669	西餐厅
6	112.935133,28.221225	金星中路郡原广场486号(市政府西侧)	岳麓区	长沙市	B02DB0TJZ3	[]	金牛角王中西餐厅(郡原店)	湖南省	0731-88238368	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	112.935133	28.221225	西餐厅
7	121.437847,31.191759	漕溪北路86号	徐汇区	上海市	B00155QI03	[]	王品台塑牛排(徐家汇店)	上海市	021-64282170;021-34715020	餐饮服务;外国餐厅;牛扒店(扒房)	050211	121.437847	31.191759	西餐厅
8	121.406194,31.204892	仙霞路80号(遵义路口)	长宁区	上海市	B00155FSXO	[]	王品牛排(上海仙霞店)	上海市	021-62084292;021-62083159;15000014779	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	121.406194	31.204892	西餐厅
9	113.321030,23.140428	体育西路191号中石化大厦A塔3层	天河区	广州市	B00140UHWS	[]	王品台塑牛排(天河店)	广东省	020-38922458;020-34715020;020-38922459	餐饮服务;外国餐厅;牛扒店(扒房)	050211	113.321030	23.140428	西餐厅
10	102.715441,25.041306	青年路400号2楼(新西南广场旁)	五华区	昆明市	B036703IAH	[]	绿茵阁西餐厅(青年路店)	云南省	0871-63129838;0871-63129997	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	102.715441	25.041306	西餐厅
11	116.370625,39.909967	华远街9号置地星座9号楼6单元	西城区	北京市	B000A810E8	[]	王品台塑牛排(西单店)	北京市	010-58518201;010-58518200	餐饮服务;外国餐厅;牛扒店(扒房)	050211	116.370625	39.909967	西餐厅
12	113.248577,23.114507	下九路90-92号东急新天地购物广场3层	荔湾区	广州市	B00140SY7O	[]	萨莉亚意式餐厅(东急店)	广东省	020-81248791	餐饮服务;外国餐厅;意式菜品餐厅	050205	113.248577	23.114507	西餐厅
13	112.996056,28.171702	韶山北路453号福乐名园2层(近福乐园)	雨花区	长沙市	B02DB06IJH	[]	金牛角王(东塘店)	湖南省	0731-84711267	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	112.996056	28.171702	西餐厅
14	114.103711,22.540553	深南中路1007号红岭大厦1栋1层(红岭南路口)	福田区	深圳市	B02F37U1FG	[]	王品牛排(深圳深南店)	广东省	0755-25866333;0755-25866999	餐饮服务;外国餐厅;牛扒店(扒房)	050211	114.103711	22.540553	西餐厅
15	113.691370,22.823991	虎门大道金色家园北6号	东莞市	东莞市	B030103YD0	[]	东莞绿茵阁西餐厅(虎门店)	广东省	0769-85259933	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	113.691370	22.823991	西餐厅
16	121.586302,38.914285	西安路135号天兴罗斯福	沙河口区	大连市	B019B0XYCG	[]	牛巴店(罗斯福店)	辽宁省	0411-83898603	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	121.586302	38.914285	西餐厅
17	116.371401,39.888399	广安门内大街6号枫桦豪景	西城区	北京市	B000A25D5B	[]	戈拿旺巴西烤肉(菜市口直营店)	北京市	010-63570085;010-63560050	餐饮服务;外国餐厅;巴西菜	050215	116.371401	39.888399	西餐厅
18	114.245122,22.727246	松仔岭二路110号	龙岗区	深圳市	B02F37UHEZ	[]	雨花西餐厅(龙城店)	广东省	0755-28960001	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	114.245122	22.727246	西餐厅
19	117.130035,39.088730	迎水道138号麦迪逊物美生活广场2层	西青区	天津市	B001610NSI	[]	味好家(麦迪逊物美店)	天津市	022-23859638	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	117.130035	39.088730	西餐厅
20	120.977399,31.413508	长江北路288号凤凰城家园2号楼8号	昆山市	苏州市	B02000IC3I	[]	王品台塑牛排(昆山店)	江苏省	0512-55107678;0512-55107679	餐饮服务;外国餐厅;牛扒店(扒房)	050211	120.977399	31.413508	西餐厅
21	113.278021,23.082125	江燕路108号燕汇广场F2层	海珠区	广州市	B00140W63N	[]	萨莉亚意式餐厅(燕汇广场店)	广东省	020-89778133	餐饮服务;外国餐厅;意式菜品餐厅	050205	113.278021	23.082125	西餐厅
22	104.053307,30.505953	华阳正西街43号2楼201号缤纷广场	双流区	成都市	B001C8N59L	[]	豪尚豪牛排馆(华阳店)	四川省	028-85638982;15957372454	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	104.053307	30.505953	西餐厅
23	119.917944,28.449889	城东路126号(纳爱斯广场正对面)	莲都区	丽水市	B02420I2OH	[]	豪尚豪牛排馆(丽水旗舰店)	浙江省	0578-2128566	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	119.917944	28.449889	西餐厅
24	108.931353,34.258997	西大街社会路12号F1层104	莲湖区	西安市	B001D09M8B	[]	斗牛士(世纪金花美居生活家)	陕西省	029-87400811	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	108.931353	34.258997	西餐厅
25	116.225132,39.906478	石景山路乙18号院2号万达广场万达百货3层307-310	石景山区	北京市	B000A87AER	[]	巴贝拉意式休闲餐厅(万达广场石景山店)	北京市	010-68665890	餐饮服务;外国餐厅;意式菜品餐厅	050205	116.225132	39.906478	西餐厅
26	116.414905,39.897087	东兴隆街56号北京·商界A座2层	东城区	北京市	B000A80PJH	[]	戈拿旺巴西烤肉(崇文门店)	北京市	010-67025190;010-67014737	餐饮服务;外国餐厅;巴西菜	050215	116.414905	39.897087	西餐厅
27	108.965378,34.216094	环塔南路东段6号大雁塔南广场大唐不夜城A9区(大雁塔南广场东南侧)	雁塔区	西安市	B001D09KIW	[]	雨花西餐厅(不夜城店)	陕西省	029-85515588;18991872087	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	108.965378	34.216094	西餐厅
28	121.534922,31.186672	高科西路2110号由由商贸中心1层	浦东新区	上海市	B00156CZFP	[]	萨莉亚意式餐厅(高科西路店)	上海市	021-50106693	餐饮服务;外国餐厅;意式菜品餐厅	050205	121.534922	31.186672	西餐厅
29	116.331135,39.938694	西直门外大街辛143号	西城区	北京市	B000A7KHMA	[]	豪尚豪牛排馆(白石桥店)	北京市	010-68313445	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	116.331135	39.938694	西餐厅
30	121.481380,31.235919	南京东路479号新世界先施休闲港湾8层(近海伦宾馆)	黄浦区	上海市	B0015147DA	[]	亚马逊巴西烤肉(九江路)	上海市	021-63229991	餐饮服务;外国餐厅;巴西菜	050215	121.481380	31.235919	西餐厅
31	123.464870,41.801957	小东路1号新玛特7层	大东区	沈阳市	B001816MRA	[]	牛巴店(中街新玛特店)	辽宁省	024-84318878	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	123.464870	41.801957	西餐厅
32	116.435659,39.940307	东直门外大街48东方银座C层	东城区	北京市	B000A84208	[]	萨莉亚意式餐厅(东直门店)	北京市	010-84549645	餐饮服务;外国餐厅;意式菜品餐厅	050205	116.435659	39.940307	西餐厅
33	121.547118,29.809412	日丽中路789号南部商务区水街2号楼1层	鄞州区	宁波市	B023E0Y527	[]	王品台塑牛排(日丽中路店)	浙江省	0574-89017918;0574-89017916	餐饮服务;外国餐厅;牛扒店(扒房)	050211	121.547118	29.809412	西餐厅
34	112.975788,28.192180	黄兴中路1号世纪情珠宝大厦	天心区	长沙市	B02DB06IVK	[]	金牛角王中西餐厅(SEVEN店)	湖南省	0731-82805598;0731-89827805	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	112.975788	28.192180	西餐厅
35	118.788219,32.049586	珠江路88号新世界百货F5层	玄武区	南京市	B00190BAX7	[]	一樽牛排欢乐餐厅(新世界百货)	江苏省	025-84533779;025-86707170	餐饮服务;外国餐厅;牛扒店(扒房)	050211	118.788219	32.049586	西餐厅
36	114.288099,30.583740	铭新街2附1	江汉区	武汉市	B001B06SLK	[]	神户牛排(江汉路店)	湖北省	027-82850930	餐饮服务;外国餐厅;牛扒店(扒房)|餐饮服务;外国餐厅;日本料理	050211|050202	114.288099	30.583740	西餐厅
37	111.129427,37.508349	龙凤大街正发大厦1层	离石区	吕梁市	B016600O0A	[]	外滩风尚西餐咖啡(昌泰路)	山西省	0358-8259999	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	111.129427	37.508349	西餐厅
38	118.783462,32.072123	中央路201号玄武湖·金茂广场购物中心3层L306	鼓楼区	南京市	B00190CXHC	[]	王品台塑牛排(南京国际广场)	江苏省	025-83306072;025-83306071;18051019221	餐饮服务;外国餐厅;牛扒店(扒房)	050211	118.783462	32.072123	西餐厅
39	117.191964,39.130458	和平路119号悦荟广场F1层83/93/90	和平区	天津市	B001609V0V	[]	味好家时尚牛排餐厅(悦荟广场)	天津市	022-85586022	餐饮服务;外国餐厅;牛扒店(扒房)	050211	117.191964	39.130458	西餐厅
40	117.215474,39.115988	浙江路33号增2	和平区	天津市	B00160CREF	[]	起士林西饼屋(浙江路总店)	天津市	022-23321603;022-23319188	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	117.215474	39.115988	西餐厅
41	113.294675,23.121303	龟岗大马路13号2楼自编B2商铺(近香鸡城)	越秀区	广州市	B00141IJ8L	[]	萨莉亚意式餐厅(东山口龟岗店)	广东省	020-37614160	餐饮服务;外国餐厅;意式菜品餐厅	050205	113.294675	23.121303	西餐厅
42	116.411390,40.006013	大屯里312号金泉广场F栋1层(近北苑路)	朝阳区	北京市	B000A85GE0	[]	将太无二(北京金泉广场店)	北京市	010-84855800;010-84855900	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	116.411390	40.006013	西餐厅
43	114.082784,22.540874	深南中路3024号中航城格兰云天大酒店2层	福田区	深圳市	B02F37VRRM	[]	天星西餐厅(华强北中航城店)	广东省	0755-33969898	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	114.082784	22.540874	西餐厅
44	121.451953,31.208478	岳阳路1号	徐汇区	上海市	B00155E6UL	[]	斗牛士牛排餐厅(中国总店)	上海市	021-64332969	餐饮服务;外国餐厅;牛扒店(扒房)	050211	121.451953	31.208478	西餐厅
45	120.155641,30.298653	上塘路393号杭州通信器材市场对面	拱墅区	杭州市	B023B0908J	[]	豪尚豪牛排(上塘店)	浙江省	0571-85269096	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	120.155641	30.298653	西餐厅
46	121.415380,31.170162	田林路124-3号2层	徐汇区	上海市	B00155LAD4	[]	萨莉亚意式餐厅(田林路店)	上海市	021-64706462	餐饮服务;外国餐厅;意式菜品餐厅	050205	121.415380	31.170162	西餐厅
47	115.906076,28.672303	广场东路209号(瑞都大酒店对面)	西湖区	南昌市	B0317045XN	[]	好缘来(广场东路店)	江西省	0791-86271288	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	115.906076	28.672303	西餐厅
48	113.327941,23.192381	广州大道北1968号合一国际1楼(近新一佳超市)	白云区	广州市	B00141KGTN	[]	萨莉亚意式餐厅(合一国际店)	广东省	[]	餐饮服务;外国餐厅;意式菜品餐厅	050205	113.327941	23.192381	西餐厅
49	114.118432,22.540589	人民南路3001-1号	罗湖区	深圳市	B02F306RAT	[]	深圳市雨花餐饮有限公司	广东省	0755-82272702;0755-83264594	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	114.118432	22.540589	西餐厅
50	116.467994,39.993344	广顺北大街33号凯德MALL.望京3层3、9-11A	朝阳区	北京市	B000A830T8	[]	时时乐(凯德MALL.望京)	北京市	010-64713876	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	116.467994	39.993344	西餐厅
51	113.916178,22.483904	新华路海上世界中心广场2层	南山区	深圳市	B02F37UJKC	[]	雨花西餐厅(蛇口海上世界店)	广东省	0755-26693060;0755-26691002	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	113.916178	22.483904	西餐厅
52	120.007919,36.278862	广州南路126号	胶州市	青岛市	B021408RXQ	[]	巴西烤肉(胶州店)	山东省	0532-82277999	餐饮服务;外国餐厅;巴西菜	050215	120.007919	36.278862	西餐厅
53	113.282367,23.138510	环市东路339广东国际大厦A附楼4层	越秀区	广州市	B00140WGIP	[]	王品台塑牛排(环市东店)	广东省	020-83187962;020-83187967;020-34715020	餐饮服务;外国餐厅;牛扒店(扒房)	050211	113.282367	23.138510	西餐厅
54	120.760660,31.649330	海虞南路88号印象城(常熟店)3层	常熟市	苏州市	B02000IBKK	[]	斗牛士西餐厅(常熟店)	江苏省	0512-52921777	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	120.760660	31.649330	西餐厅
55	121.498570,31.234077	滨江大道2967号	浦东新区	上海市	B00155IHC2	[]	宝莱纳餐厅(陆家嘴店)	上海市	021-68883935	餐饮服务;外国餐厅;德国菜	050214	121.498570	31.234077	西餐厅
56	115.500015,38.857589	莲池南大街493号(裕华路小商品城南行30米)	莲池区	保定市	B0138030S3	[]	巴拉拉意式休闲餐厅	河北省	0312-3021111;15932224888	餐饮服务;外国餐厅;意式菜品餐厅	050205	115.500015	38.857589	西餐厅
57	104.076774,30.627554	科华北路117号	武侯区	成都市	B001C08FZC	[]	彼德西餐(科华店)	四川省	028-85227965	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	104.076774	30.627554	西餐厅
58	113.828595,34.019662	七一路中段(许昌大酒店对面)	魏都区	许昌市	B0176019GE	[]	佳客来牛排专家(七一路店)	河南省	0374-2099777	餐饮服务;外国餐厅;牛扒店(扒房)	050211	113.828595	34.019662	西餐厅
59	113.975520,22.537300	深南大道9028号益田假日广场F3层L3-1	南山区	深圳市	B02F37WO70	[]	王品牛排(益田假日广场店)	广东省	0755-86298729;0755-86298000;0755-86298730	餐饮服务;外国餐厅;牛扒店(扒房)	050211	113.975520	22.537300	西餐厅
60	117.017739,36.632032	济大路7-2号	市中区	济南市	B021306V8R	[]	皇家咖啡西餐厅(济大路总店)	山东省	0531-82988588	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	117.017739	36.632032	西餐厅
61	116.303373,39.997648	颐和园路福缘门1号	海淀区	北京市	B000A886VQ	[]	站点比萨(北大分店)	北京市	010-62658057;010-62652312	餐饮服务;外国餐厅;西餐厅(综合风味)	050201	116.303373	39.997648	西餐厅
62	113.327350,23.132378	正佳广场6层6C056e-F	天河区	广州市	B00141K2F6	[]	西堤厚牛排(正佳店)	广东省	020-38361641;020-38361642	餐饮服务;外国餐厅;牛扒店(扒房)	050211	113.327350	23.132378	西餐厅
